stop_id,stop_name,stop_lat,stop_lon
700000000133,Avoniel,0,0
700000000015,Connswater,0,0
700000000137,Strandtown,0,0
700000000139,Strand Cinema,0,0
700000000141,Park Avenue,0,0
700000000143,St Marks,0,0
700000000145,Clonaver,0,0
700000000147,Tudordale,0,0
700000000057,School Court,0,0
700000000061,Knocknagoney Primary,0,0
700000000063,Parklands,0,0
700000000065,Tillysburn Park,0,0
700000000067,Tillysburn Park,0,0
700000000069,Templeton House,0,0
700000000071,Ashfield Girls,0,0
700000000073,Ashfield Boys,0,0
700000000075,Carolhill,0,0
700000000077,Inverary Avenue,0,0
700000000079,Inverleith Drive,0,0
700000000081,Inverary Playing Fields,0,0
700000000083,Sydenham Station,0,0
700000000085,Station Road,0,0
700000000087,Palmerston Road,0,0
700000000089,Larkfield Road,0,0
700000000091,Larkfield,0,0
700000000093,Strandburn Drive,0,0
700000000095,Parkgate Avenue,0,0
700000000097,Glendale Court,0,0
700000000099,Connsbrook Avenue,0,0
700000000101,Holywood Arches (Holywood Road),0,0
700000000105,Hunt Street,0,0
700000000107,Dee Street,0,0
700000000109,Templemore Ave [N'ards Road],0,0
700000000111,Tower Street,0,0
700000000113,Bryson Street,0,0
700000000115,Short Strand (Newtownards Road),0,0
700000000117,Bridge End,0,0
700000000119,Oxford Street,0,0
700000001634,St Georges Market,0,0
700000001635,May Street [St George's Market],0,0
700000001636,May Street [City Hall],0,0
700000001802,Donegall Square West,0,0
700000000155,Tudordale,0,0
700000000173,Station Road,0,0
700000000175,Clonaver,0,0
700000000177,St Marks,0,0
700000000179,Park Avenue,0,0
700000015320,Strand Cinema,0,0
700000000181,Strandtown,0,0
700000000103,Connswater,0,0
700000000187,Avoniel,0,0
700000000189,Templemore Avenue,0,0
700000016271,Albert Bridge,0,0
700000000199,Lanyon Place Station [Glider],0,0
700000001831,Holywood Exchange,0,0
700000016066,Holywood Exchange,0,0
700000015132,Holywood Exchange Ikea,0,0
700000000149,Glendhu Manor,0,0
700000000151,Glenluce Drive,0,0
700000000153,Upper Garnerville Road,0,0
700000001845,Knocknagoney Drive,0,0
700000014744,Circular Road,0,0
700000014745,Orchard Lane,0,0
700000014746,CIYMS,0,0
700000014747,Cairnburn Road,0,0
700000000770,Cairnburn Gardens No 36,0,0
700000000773,Old Holywood Road (Kennelbridge) Outside No 116,0,0
700000001844,Motelands,0,0
700000014725,Garnerville Road,0,0
700000014759,Knocknagoney Road,0,0
700000016007,Glendhu Park,0,0
700000016008,Glenluce Drive,0,0
700000016009,Glendhu Manor,0,0
700000000157,Quarry Road,0,0
700000000159,Glenmillan,0,0
700000000161,Old Holywood Road (Kennelbridge),0,0
700000000163,Cairnburn Road,0,0
700000000165,Cairnburn Allotments,0,0
700000000167,C I Y M S Grounds,0,0
700000000169,Orchard Lane,0,0
700000000171,Circular Road,0,0
700000000201,Sydenham Drive,0,0
700000000203,Ranfurly Drive,0,0
700000000205,Belmont Road,0,0
700000000207,Clonallon Gardens,0,0
700000000209,Clonallon Court,0,0
700000000211,Belmont Church Road,0,0
700000000213,Pine Lodge,0,0
700000000215,Pirrie Road,0,0
700000000219,Campbell College,0,0
700000000221,Schomberg Avenue,0,0
700000000513,Massey Green,0,0
700000000223,Massey Avenue,0,0
700000000225,Netherleigh Mews,0,0
700000000227,Castlehill Road,0,0
700000000229,Cloverhill Gardens,0,0
700000000231,Massey Avenue Gates,0,0
700000000233,Parliament Buildings,0,0
700000000235,I T Division,0,0
